miRNA	Total_Concordant_CpGs	All_Hypermethylated_CpGs	All_Hypomethylated_CpGs	Num_Cancers
hsa-mir-4251	49	1	48	14
hsa-mir-3185	33	33	0	15
hsa-mir-9-2	25	25	0	15
hsa-mir-759	21	19	2	15
hsa-mir-124-2	15	15	0	15
hsa-mir-1197	14	0	14	13
hsa-mir-299	14	0	14	13
hsa-mir-323a	14	0	14	13
hsa-mir-329-1	14	0	14	13
hsa-mir-329-2	14	0	14	13
hsa-mir-379	14	0	14	13
hsa-mir-380	14	0	14	13
hsa-mir-411	14	0	14	13
hsa-mir-758	14	0	14	13
hsa-mir-9-3	14	14	0	15
hsa-mir-129-2	13	11	2	15
hsa-mir-4472-1	12	0	12	15
hsa-mir-5087	11	11	0	15
hsa-mir-153-2	11	0	11	14
hsa-mir-7154	11	0	11	14
hsa-mir-127	10	0	10	14
hsa-mir-337	10	0	10	14
hsa-mir-431	10	0	10	15
hsa-mir-433	10	0	10	14
hsa-mir-493	10	0	10	14
hsa-mir-665	10	0	10	14
hsa-mir-4686	10	0	10	14
hsa-mir-1302-1	9	3	6	15
hsa-mir-4801	9	9	0	14
hsa-mir-490	9	8	1	15
hsa-mir-6720	9	9	0	14
hsa-mir-4316	8	5	3	15
hsa-mir-1-1	8	0	8	15
hsa-mir-133a-2	8	0	8	15
hsa-mir-124-3	8	6	2	15
hsa-mir-369	8	0	8	12
hsa-mir-409	8	0	8	12
hsa-mir-410	8	0	8	12
hsa-mir-412	8	0	8	12
hsa-mir-541	8	0	8	12
hsa-mir-656	8	0	8	12
hsa-mir-2682	6	6	0	15
hsa-mir-3667	6	0	6	14
hsa-mir-595	6	4	2	15
hsa-mir-3135b	6	2	4	14
hsa-mir-184	6	3	3	15
hsa-mir-593	5	5	0	13
hsa-mir-10395	5	4	1	15
hsa-mir-615	5	5	0	14
hsa-mir-6828	5	5	0	15
hsa-mir-6744	5	2	3	15
hsa-mir-129-1	5	3	2	14
hsa-mir-12116	5	4	1	14
hsa-mir-663a	5	5	0	15
hsa-mir-124-1	5	5	0	15
hsa-mir-8063	5	5	0	11
hsa-mir-3187	5	2	3	15
hsa-mir-12118	5	5	0	15
hsa-mir-4666a	4	4	0	15
hsa-mir-1205	4	0	4	15
hsa-mir-1206	4	0	4	15
hsa-mir-1207	4	0	4	15
hsa-mir-1204	4	0	4	15
hsa-mir-2277	4	4	0	15
hsa-mir-3682	4	4	0	12
hsa-mir-335	4	4	0	14
hsa-mir-208b	4	0	4	13
hsa-mir-3923	4	4	0	15
hsa-mir-5571	4	1	3	15
hsa-mir-650	4	1	3	15
hsa-mir-3935	3	2	1	15
hsa-mir-4507	3	0	3	11
hsa-mir-4537	3	0	3	11
hsa-mir-4538	3	0	3	11
hsa-mir-4539	3	0	3	11
hsa-mir-4281	3	3	0	14
hsa-mir-10a	3	3	0	13
hsa-let-7a-2	3	3	0	13
hsa-mir-100	3	3	0	13
hsa-mir-10526	3	3	0	13
hsa-mir-125b-1	3	3	0	13
hsa-mir-128-2	3	0	3	11
hsa-mir-5194	3	3	0	12
hsa-mir-8058	3	1	2	14
hsa-mir-3151	3	2	1	14
hsa-mir-1305	3	0	3	12
hsa-mir-1283-1	3	0	3	11
hsa-mir-1323	3	0	3	11
hsa-mir-498	3	0	3	11
hsa-mir-512-1	3	0	3	11
hsa-mir-512-2	3	0	3	11
hsa-mir-515-1	3	0	3	11
hsa-mir-515-2	3	0	3	11
hsa-mir-519c	3	0	3	11
hsa-mir-519e	3	0	3	11
hsa-mir-520a	3	0	3	11
hsa-mir-520e	3	0	3	11
hsa-mir-520f	3	0	3	11
hsa-mir-519b	3	0	3	11
hsa-mir-526b	3	0	3	11
hsa-mir-4677	3	3	0	13
hsa-mir-26a-2	2	2	0	13
hsa-mir-4255	2	1	1	13
hsa-mir-7159	2	0	2	14
hsa-mir-3619	2	2	0	12
hsa-let-7a-3	2	2	0	12
hsa-let-7b	2	2	0	12
hsa-mir-4763	2	2	0	12
hsa-mir-670	2	0	2	12
hsa-mir-9903	2	1	1	14
hsa-mir-770	2	0	2	15
hsa-mir-371a	2	0	2	11
hsa-mir-372	2	0	2	11
hsa-mir-371b	2	0	2	11
hsa-mir-4284	2	2	0	11
hsa-mir-1229	2	1	1	15
hsa-mir-3155b	2	0	2	13
hsa-mir-4327	2	0	2	11
hsa-mir-4429	2	0	2	13
hsa-mir-8074	2	1	1	15
hsa-mir-4715	2	2	0	13
hsa-mir-1208	2	0	2	12
hsa-mir-7160	2	0	2	12
hsa-mir-641	2	2	0	11
hsa-mir-6786	2	0	2	13
hsa-mir-4699	2	2	0	11
hsa-mir-7706	1	0	1	11
hsa-mir-6068	1	1	0	11
hsa-mir-1236	1	0	1	10
hsa-mir-487b	1	0	1	10
hsa-mir-6835	1	0	1	10
hsa-mir-7704	1	1	0	11
hsa-mir-4759	1	1	0	12
hsa-mir-6779	1	1	0	11
hsa-mir-137	1	1	0	13
hsa-mir-12123	1	0	1	11
hsa-mir-6836	1	1	0	11
hsa-mir-330	1	0	1	12
hsa-mir-4321	1	1	0	10
hsa-mir-373	1	0	1	10
hsa-mir-483	1	0	1	12
hsa-mir-6730	1	1	0	11
hsa-mir-7848	1	0	1	14
hsa-mir-6757	1	1	0	10
hsa-mir-548i-2	1	0	1	10
hsa-mir-5196	1	0	1	10
hsa-mir-29a	1	0	1	11
hsa-mir-29b-1	1	0	1	11
hsa-mir-4506	1	1	0	10
hsa-mir-3919	1	0	1	11
hsa-mir-1258	1	0	1	12
hsa-mir-219a-1	1	1	0	10
hsa-mir-4278	1	0	1	10
hsa-mir-4534	1	1	0	12
hsa-mir-3155a	1	0	1	12
hsa-mir-4508	1	1	0	10
hsa-mir-4729	1	1	0	10
hsa-mir-3663	1	1	0	10
hsa-mir-378c	1	0	1	10
hsa-mir-7153	1	0	1	10
hsa-mir-26b	1	1	0	10
hsa-mir-4291	1	1	0	13
hsa-mir-455	1	1	0	10
hsa-mir-6722	1	0	1	11
hsa-mir-4646	1	1	0	10
hsa-mir-196b	1	1	0	10
hsa-mir-3714	1	0	1	10
hsa-mir-5000	1	0	1	10
hsa-mir-4264	1	0	1	10
hsa-mir-8080	1	0	1	10
hsa-mir-12124	1	0	1	10
hsa-mir-375	1	1	0	10
hsa-mir-486-1	1	0	1	10
hsa-mir-486-2	1	0	1	10
hsa-mir-6787	1	0	1	10
hsa-mir-1178	1	1	0	12
hsa-mir-4649	1	0	1	10
hsa-mir-1179	1	1	0	10
hsa-mir-6812	1	0	1	10
hsa-mir-4688	1	1	0	10
hsa-mir-7843	1	0	1	10
hsa-mir-663b	1	0	1	10
hsa-mir-639	1	1	0	12
hsa-mir-548t	1	0	1	11
hsa-mir-4696	1	1	0	11
hsa-mir-136	1	0	1	11
hsa-mir-432	1	0	1	14
hsa-mir-548aq	1	0	1	10
hsa-mir-7156	1	1	0	10
hsa-mir-133b	1	0	1	11
hsa-mir-206	1	0	1	11
hsa-mir-425	1	0	1	15
hsa-mir-191	1	0	1	11
hsa-mir-8085	1	1	0	10
hsa-mir-4447	1	0	1	10
hsa-mir-4651	1	1	0	10
hsa-mir-10527	1	1	0	15
hsa-mir-6873	1	0	1	10
hsa-mir-7109	1	0	1	11
hsa-mir-3182	1	0	1	10
hsa-mir-135b	1	0	1	10
hsa-mir-3918	1	0	1	12
hsa-mir-4445	1	0	1	10
hsa-mir-4466	1	0	1	12
hsa-mir-34a	1	0	1	10
hsa-mir-1268b	1	0	1	10
hsa-mir-6728	1	0	1	12
hsa-mir-495	1	0	1	10
hsa-mir-148b	1	1	0	10
