miRNA	Total_Concordant_DMRs	All_Hypermethylated_DMRs	All_Hypomethylated_DMRs	Num_Cancers
hsa-mir-4251	4	0	4	14
hsa-mir-593	3	3	0	16
hsa-mir-153-2	3	0	3	16
hsa-mir-7160	3	0	3	13
hsa-mir-148b	2	2	0	15
hsa-mir-4316	2	0	2	16
hsa-mir-3667	2	0	2	16
hsa-mir-196b	1	1	0	12
hsa-mir-6132	1	1	0	13
hsa-mir-663a	1	1	0	14
hsa-mir-5196	1	1	0	13
hsa-mir-1302-4	1	1	0	12
hsa-mir-4321	1	1	0	12
hsa-mir-6801	1	1	0	12
hsa-mir-8074	1	1	0	13
hsa-mir-1283-2	1	1	0	14
hsa-mir-516a-1	1	1	0	14
hsa-mir-516a-2	1	1	0	14
hsa-mir-519a-1	1	1	0	14
hsa-mir-519a-2	1	1	0	14
hsa-mir-521-1	1	1	0	14
hsa-mir-522	1	1	0	14
hsa-mir-527	1	1	0	14
hsa-mir-8055	1	0	1	12
hsa-mir-3185	1	1	0	10
hsa-mir-601	1	1	0	10
hsa-mir-7150	1	1	0	10
hsa-mir-4710	1	0	1	13
hsa-mir-646	1	0	1	12
hsa-mir-4298	1	0	1	13
hsa-mir-7847	1	0	1	13
hsa-mir-3175	1	0	1	12
hsa-let-7a-1	1	1	0	10
hsa-let-7d	1	1	0	10
hsa-let-7f-1	1	1	0	10
hsa-mir-4323	1	0	1	17
hsa-mir-6757	1	0	1	10
hsa-mir-3657	1	1	0	11
hsa-mir-3944	1	0	1	10
hsa-mir-8058	1	0	1	12
hsa-mir-6516	1	0	1	10
hsa-mir-3187	1	0	1	10
hsa-mir-340	1	0	1	10
hsa-mir-5571	1	0	1	12
hsa-mir-650	1	0	1	12
hsa-mir-4533	1	0	1	10
hsa-mir-4782	1	0	1	12
hsa-mir-7154	1	0	1	10
hsa-mir-1178	1	0	1	10
hsa-mir-548s	1	0	1	10
hsa-mir-135b	1	0	1	10
hsa-mir-5581	1	1	0	10
hsa-mir-2355	1	1	0	10
hsa-mir-1288	1	0	1	12
hsa-mir-1270	1	1	0	10
