miRNA	Total_Concordant_DMRs	All_Hypermethylated_DMRs	All_Hypomethylated_DMRs	Num_Cancers
hsa-mir-4251	62	3	59	19
hsa-mir-153-2	18	0	18	18
hsa-mir-7154	15	0	15	17
hsa-mir-7160	12	1	11	18
hsa-mir-6744	11	3	8	17
hsa-mir-4472-1	11	0	11	20
hsa-mir-3667	11	1	10	17
hsa-mir-3187	11	2	9	16
hsa-mir-127	9	0	9	17
hsa-mir-337	9	0	9	17
hsa-mir-431	9	0	9	17
hsa-mir-433	9	0	9	17
hsa-mir-493	9	0	9	17
hsa-mir-665	9	0	9	17
hsa-mir-4316	8	6	2	16
hsa-mir-9-2	7	7	0	16
hsa-mir-6757	7	2	5	14
hsa-mir-595	7	1	6	17
hsa-mir-1283-1	7	0	7	14
hsa-mir-1323	7	0	7	14
hsa-mir-498	7	0	7	14
hsa-mir-512-1	7	0	7	14
hsa-mir-512-2	7	0	7	14
hsa-mir-515-1	7	0	7	14
hsa-mir-515-2	7	0	7	14
hsa-mir-519c	7	0	7	14
hsa-mir-519e	7	0	7	14
hsa-mir-520a	7	0	7	14
hsa-mir-520e	7	0	7	14
hsa-mir-520f	7	0	7	14
hsa-mir-519b	7	0	7	14
hsa-mir-526b	7	0	7	14
hsa-mir-3185	6	5	1	17
hsa-mir-615	6	6	0	14
hsa-mir-5087	6	6	0	16
hsa-mir-770	6	0	6	16
hsa-mir-12118	6	5	1	14
hsa-mir-5189	6	1	5	7
hsa-mir-129-2	5	3	2	13
hsa-mir-4666a	5	4	1	14
hsa-mir-1-1	5	0	5	16
hsa-mir-133a-2	5	0	5	16
hsa-mir-6720	5	5	0	16
hsa-mir-4655	5	2	3	13
hsa-mir-3135b	5	0	5	13
hsa-mir-5196	5	2	3	14
hsa-mir-759	4	3	1	18
hsa-mir-124-3	4	3	1	16
hsa-mir-9-3	4	4	0	15
hsa-mir-1260a	4	2	2	8
hsa-mir-1268b	4	1	3	11
hsa-mir-4298	4	0	4	13
hsa-mir-7847	4	0	4	13
hsa-mir-5571	4	1	3	12
hsa-mir-650	4	1	3	12
hsa-mir-4713	4	3	1	9
hsa-mir-7973-1	4	3	1	9
hsa-mir-3170	4	3	1	13
hsa-mir-4264	4	2	2	11
hsa-mir-8080	4	2	2	11
hsa-mir-8058	4	2	2	16
hsa-mir-5584	4	3	1	12
hsa-mir-1197	4	0	4	14
hsa-mir-299	4	0	4	14
hsa-mir-323a	4	0	4	14
hsa-mir-329-1	4	0	4	14
hsa-mir-329-2	4	0	4	14
hsa-mir-379	4	0	4	14
hsa-mir-380	4	0	4	14
hsa-mir-411	4	0	4	14
hsa-mir-758	4	0	4	14
hsa-mir-4686	4	0	4	13
hsa-mir-4801	4	3	1	11
hsa-mir-3151	4	2	2	11
hsa-mir-196b	3	3	0	12
hsa-mir-1178	3	3	0	13
hsa-mir-6828	3	3	0	14
hsa-mir-490	3	3	0	10
hsa-mir-124-2	3	3	0	14
hsa-mir-369	3	0	3	13
hsa-mir-409	3	0	3	13
hsa-mir-410	3	0	3	13
hsa-mir-412	3	0	3	13
hsa-mir-541	3	0	3	13
hsa-mir-656	3	0	3	13
hsa-mir-6774	3	1	2	11
hsa-mir-593	3	3	0	11
hsa-mir-133b	3	0	3	14
hsa-mir-206	3	0	3	14
hsa-mir-184	3	3	0	11
hsa-mir-3663	3	3	0	8
