miRNA	TCGA-BLCA	TCGA-BRCA	TCGA-CHOL	TCGA-COAD	TCGA-ESCA	TCGA-HNSC	TCGA-KIRC	TCGA-KIRP	TCGA-LIHC	TCGA-LUAD	TCGA-LUSC	TCGA-PAAD	TCGA-PRAD	TCGA-READ	TCGA-UCEC
hsa-let-7a-2	3	2	0	2	2	2	3	3	0	3	3	3	3	2	1
hsa-let-7a-3	0	2	0	1	2	2	2	2	1	2	2	2	0	1	1
hsa-let-7b	0	2	0	1	2	2	2	2	1	2	2	2	0	1	1
hsa-mir-1-1	8	7	3	6	8	8	2	1	8	7	8	1	5	8	8
hsa-mir-100	3	2	0	2	2	2	3	3	0	3	3	3	3	2	1
hsa-mir-10395	2	4	1	5	4	4	5	3	5	5	5	4	4	1	1
hsa-mir-10526	3	2	0	2	2	2	3	3	0	3	3	3	3	2	1
hsa-mir-10527	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hsa-mir-10a	3	2	2	0	3	3	3	3	0	3	3	1	2	1	1
hsa-mir-1178	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1
hsa-mir-1179	1	1	0	1	1	1	0	0	0	1	1	1	1	1	0
hsa-mir-1197	14	13	0	12	14	14	10	1	14	14	14	0	14	12	14
hsa-mir-1204	4	2	4	4	4	2	4	4	3	4	4	4	3	4	2
hsa-mir-1205	4	2	4	4	4	2	4	4	3	4	4	4	3	4	2
hsa-mir-1206	4	2	4	4	4	2	4	4	3	4	4	4	3	4	2
hsa-mir-1207	4	2	4	4	4	2	4	4	3	4	4	4	3	4	2
hsa-mir-1208	2	0	2	2	2	1	2	2	1	1	2	2	0	2	0
hsa-mir-12116	2	5	3	5	4	5	4	0	5	5	5	4	3	5	2
hsa-mir-12118	5	2	5	5	5	4	2	1	2	3	5	5	5	4	5
hsa-mir-12123	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1
hsa-mir-12124	1	1	0	1	1	1	0	0	1	1	1	0	1	1	0
