miRNA	TCGA-BLCA	TCGA-BRCA	TCGA-CESC	TCGA-CHOL	TCGA-COAD	TCGA-ESCA	TCGA-GBM	TCGA-HNSC	TCGA-KIRC	TCGA-KIRP	TCGA-LIHC	TCGA-LUAD	TCGA-LUSC	TCGA-PAAD	TCGA-PCPG	TCGA-PRAD	TCGA-READ	TCGA-SARC	TCGA-SKCM	TCGA-STAD	TCGA-THYM	TCGA-UCEC
hsa-let-7a-2	0	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
hsa-let-7a-3	0	1	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	1
hsa-let-7b	0	1	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	1
hsa-let-7e	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-mir-1-1	4	2	2	0	2	4	1	4	0	0	4	4	4	1	3	1	4	0	1	0	0	4
hsa-mir-100	0	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
hsa-mir-10226	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-mir-10395	0	1	1	0	0	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0
hsa-mir-10400	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
hsa-mir-10523	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1
hsa-mir-10526	0	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
hsa-mir-10527	0	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	1
hsa-mir-10a	1	1	0	2	0	1	1	2	1	1	0	2	1	1	0	1	0	0	2	0	0	1
hsa-mir-11399	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-mir-11401	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
hsa-mir-1178	1	1	1	1	0	1	0	2	0	1	1	0	0	0	1	2	0	0	1	1	0	1
hsa-mir-1179	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0
hsa-mir-1185-1	0	1	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	1	1	0	0	1
hsa-mir-1185-2	0	1	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	1	1	0	0	1
hsa-mir-1193	1	0	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1	0	1	0	0	1
hsa-mir-1197	2	0	1	0	2	1	1	2	0	0	2	2	2	0	0	1	2	1	1	0	0	1
hsa-mir-1200	1	2	1	0	1	0	0	1	0	0	0	0	0	1	2	0	2	0	0	0	0	2
hsa-mir-1204	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1
hsa-mir-1205	1	2	1	1	1	1	2	1	2	1	1	1	1	1	0	1	1	1	0	0	0	1
hsa-mir-1206	1	2	1	1	1	1	2	1	2	1	1	1	1	1	0	1	1	1	0	0	0	1
hsa-mir-1207	1	2	1	1	1	1	2	1	2	1	1	1	1	1	0	1	1	1	0	0	0	1
hsa-mir-1208	1	1	0	0	1	0	2	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0
hsa-mir-12116	1	2	2	1	2	2	1	2	1	0	1	2	1	0	1	1	2	0	0	0	0	1
hsa-mir-12118	2	1	1	0	2	1	0	2	0	1	1	1	2	2	0	1	1	0	1	0	0	0
hsa-mir-12123	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	1
hsa-mir-12124	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0
hsa-mir-1233-2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-124-1	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1
hsa-mir-124-2	2	2	2	3	2	2	0	1	2	0	0	2	2	2	0	1	2	0	0	0	0	2
hsa-mir-124-3	2	2	2	1	1	2	0	2	1	1	2	3	1	1	0	1	2	0	0	0	0	2
hsa-mir-1243	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0
hsa-mir-1246	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1
hsa-mir-1247	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1
hsa-mir-1250	1	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0
hsa-mir-1251	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1253	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1
hsa-mir-1258	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-125a	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-mir-1260a	0	1	1	1	3	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	1
hsa-mir-1268b	2	1	2	0	1	1	0	3	0	1	0	1	3	0	0	0	3	0	0	0	0	1
hsa-mir-127	7	2	5	0	3	4	0	6	1	0	7	5	5	1	4	2	5	1	1	0	0	4
hsa-mir-1275	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
hsa-mir-1276	1	1	2	1	0	1	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0
hsa-mir-1278	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
hsa-mir-128-2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
hsa-mir-1283-1	5	2	0	0	4	5	1	3	1	0	5	4	5	0	0	0	5	1	4	0	0	4
