Coord	DMR_idx	Chromosome	Start	End	miRNA	Num_Cancers	Cancers	Concordance
chr11_43598761_43604860	56;11;50;307;37	chr11	43598761	43604860	hsa-mir-129-2	5	TCGA-BRCA;TCGA-CESC;TCGA-HNSC;TCGA-LUAD;TCGA-PAAD	All_Hypermethylated
chr13_53422381_53425961	112;185;2785;1854;2458	chr13	53422381	53425961	hsa-mir-759	5	TCGA-BLCA;TCGA-BRCA;TCGA-LIHC;TCGA-LUSC;TCGA-UCEC	All_Hypermethylated
chr20_61808126_61810795	128;125;503	chr20	61808126	61810795	hsa-mir-124-3	3	TCGA-BRCA;TCGA-HNSC;TCGA-LUAD	All_Hypermethylated
chr7_27203546_27206907	134;74;3722	chr7	27203546	27206907	hsa-mir-196b	3	TCGA-BRCA;TCGA-LUSC;TCGA-UCEC	All_Hypermethylated
chr12_120241287_120242513	218;132;185;181;93;461;180	chr12	120241287	120242513	hsa-mir-1178	7	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-HNSC;TCGA-PRAD;TCGA-SKCM;TCGA-UCEC	All_Hypermethylated
chr5_87973899_87974547	258;3604;1025	chr5	87973899	87974547	hsa-mir-9-2	3	TCGA-BRCA;TCGA-PRAD;TCGA-SKCM	All_Hypermethylated
chr19_50014987_50016870	274;6075;313	chr19	50014987	50016870	hsa-mir-150	3	TCGA-BRCA;TCGA-CESC;TCGA-PRAD	All_Hypermethylated
chr4_40631741_40632860	343;766	chr4	40631741	40632860	hsa-mir-4802	2	TCGA-BRCA;TCGA-UCEC	All_Hypomethylated
chr22_20236751_20237341	363;2552;462	chr22	20236751	20237341	hsa-mir-1286	3	TCGA-BRCA;TCGA-CESC;TCGA-UCEC	All_Hypermethylated
chr5_172305889_172306136	371;337;1034;4140	chr5	172305889	172306136	hsa-mir-10523	4	TCGA-BRCA;TCGA-CESC;TCGA-KIRP;TCGA-PCPG	All_Hypermethylated
chr20_26188943_26190354	390;534;122;608;746;1952;256;795;1218;4447;396;2805;615;446	chr20	26188943	26190354	hsa-mir-663a	14	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-ESCA;TCGA-GBM;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr17_42289671_42290419	403;2527;809	chr17	42289671	42290419	hsa-mir-6782	3	TCGA-BRCA;TCGA-CESC;TCGA-UCEC	All_Hypermethylated
chr19_14671371_14671512	423;377;6578;1381;3044;1836;12711;1802;872;3887;2578;10993	chr19	14671371	14671512	hsa-mir-639	12	TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-GBM;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PCPG;TCGA-PRAD;TCGA-SKCM;TCGA-UCEC	All_Hypermethylated
chr1_172113506_172114419	437;2599	chr1	172113506	172114419	hsa-mir-199a-2	2	TCGA-BRCA;TCGA-READ	All_Hypermethylated
chr3_170746029_170746291	456;30506;814	chr3	170746029	170746291	hsa-mir-569	3	TCGA-BRCA;TCGA-LUSC;TCGA-SKCM	All_Hypermethylated
chr2_219267198_219268015	467;1848;172;66;247;111;459;5068;3130;716	chr2	219267198	219268015	hsa-mir-26b	10	TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LIHC;TCGA-SARC;TCGA-SKCM;TCGA-UCEC	All_Hypermethylated
chr5_148809664_148810203	469;1182;896;1589;140;4665	chr5	148809664	148810203	hsa-mir-143;hsa-mir-145	6	TCGA-BRCA;TCGA-CESC;TCGA-LUAD;TCGA-LUSC;TCGA-PCPG;TCGA-UCEC	All_Hypermethylated
chr3_170136263_170138205	479;4014;4504;112;764;2091;4051	chr3	170136263	170138205	hsa-mir-6828	7	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-GBM;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr7_136553595_136556193	508;3025	chr7	136553595	136556193	hsa-mir-490	2	TCGA-BRCA;TCGA-LUSC	All_Hypermethylated
chr14_102025815_102031503	559;7284;2764;2132;4426;184;1476;88;260;876	chr14	102025815	102031503	hsa-mir-1247	10	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-ESCA;TCGA-GBM;TCGA-HNSC;TCGA-KIRC;TCGA-LUAD;TCGA-UCEC	All_Hypermethylated
chr1_2982592_2987961	609;2343;1981;267;535;3602	chr1	2982592	2987961	hsa-mir-4251	6	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-LUSC;TCGA-UCEC	All_Hypermethylated
chr1_179711583_179713950	646;1457;852;272;764;2269;487;4713;383;1864;371	chr1	179711583	179713950	hsa-mir-12116	11	TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-GBM;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr3_120168805_120170646	692;9856;7492;10025	chr3	120168805	120170646	hsa-mir-198	4	TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-READ	All_Hypermethylated
chr8_65289227_65293126	693;3009;99;949;427;349;276;488;156;284;3596	chr8	65289227	65293126	hsa-mir-124-2	13	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-KIRC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr15_86315115_86315211	733;10153;3224;9632;7244;3277	chr15	86315115	86315211	hsa-mir-1276	6	TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-KIRC;TCGA-LUSC;TCGA-PRAD	All_Hypermethylated
chr14_101530343_101532938	880;67;3468;3013;461;66;221;759;1347;1007;809;441	chr14	101530343	101532938	hsa-mir-369;hsa-mir-409;hsa-mir-410;hsa-mir-412;hsa-mir-541;hsa-mir-656	12	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-SARC;TCGA-SKCM;TCGA-UCEC	All_Hypomethylated
chr2_54086854_54087552	887;8283;1155;82;88;151;1901;1843;8292;78;37;153;988;136	chr2	54086854	54087552	hsa-mir-3682	14	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-SKCM;TCGA-STAD;TCGA-UCEC	All_Hypermethylated
chr7_157345090_157348266	940;535;4127;1680;579;1330;152;918;1554;455;800;5475;2545;1269	chr7	157345090	157348266	hsa-mir-153-2	14	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-SARC;TCGA-SKCM;TCGA-STAD	All_Hypomethylated
chr11_1314042_1315171	987;3928;3040;792	chr11	1314042	1315171	hsa-mir-6744	4	TCGA-BRCA;TCGA-CESC;TCGA-LUAD;TCGA-LUSC	All_Hypermethylated
chr1_3055958_3059820	994;1682;933;1633;6781;2355	chr1	3055958	3059820	hsa-mir-4251	6	TCGA-BLCA;TCGA-BRCA;TCGA-LIHC;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_3314443_3315497	1027;10473;13477;7586;5580;21012;13592	chr1	3314443	3315497	hsa-mir-4251	7	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr7_27211117_27214383	1142;881;1086;609;170;1679;816	chr7	27211117	27214383	hsa-mir-196b	7	TCGA-BRCA;TCGA-CHOL;TCGA-GBM;TCGA-LIHC;TCGA-LUAD;TCGA-PAAD;TCGA-SKCM	All_Hypermethylated
chr18_13641735_13642414	1164;6363;15571;3337;12005;11618;928;1274;682	chr18	13641735	13642414	hsa-mir-4526	9	TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr1_156390102_156391310	1269;12686;7697;7081;5215;15691;1724;393;7283	chr1	156390102	156391310	hsa-mir-9-1	9	TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-ESCA;TCGA-LUAD;TCGA-PAAD;TCGA-PRAD;TCGA-SKCM;TCGA-UCEC	All_Hypermethylated
chr8_24813003_24815367	1291;19781;3713;2365;626;1335	chr8	24813003	24815367	hsa-mir-6841	6	TCGA-BLCA;TCGA-BRCA;TCGA-GBM;TCGA-LUAD;TCGA-PAAD;TCGA-UCEC	All_Hypermethylated
chr21_42520009_42520902	1308;1201;8280;10811;1038;2805;3235	chr21	42520009	42520902	hsa-mir-3197	7	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-PCPG;TCGA-UCEC	All_Hypomethylated
chr17_46795860_46797764	1314;1833;9284;576;509;1925;291;10697;212;346;1496;3288;1120	chr17	46795860	46797764	hsa-mir-3185	13	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-ESCA;TCGA-GBM;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-SKCM;TCGA-UCEC	All_Hypermethylated
chr8_96084821_96086565	1341;4146;566;3603;1256;2166;95	chr8	96084821	96086565	hsa-mir-3150a;hsa-mir-3150b	7	TCGA-BLCA;TCGA-BRCA;TCGA-GBM;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-SKCM	All_Hypermethylated
chr14_21491045_21495146	1364;2281;375;1640;9089	chr14	21491045	21495146	hsa-mir-6717	5	TCGA-BRCA;TCGA-CESC;TCGA-PRAD;TCGA-SKCM;TCGA-UCEC	All_Hypermethylated
chr17_46810540_46811527	1369;20864;6340;1979;15007;1177;1264;10909;2437;879;3042;10256	chr17	46810540	46811527	hsa-mir-3185	12	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-UCEC	All_Hypermethylated
chr12_54422239_54425418	1419;3242;419	chr12	54422239	54425418	hsa-mir-615	3	TCGA-BRCA;TCGA-PAAD;TCGA-SKCM	All_Hypermethylated
