ProbeID	Chromosome	Start	End	Gene	TCGA-BRCA_Status	TCGA-LUSC_Status	Concordance
cg13938959	chr1	898803	898804	NA	Hypomethylated	        Hypomethylated	        Concordant
cg08128007	chr1	904055	904056	RP11-54O7.16	Hypomethylated	Hypomethylated	Concordant
cg22226438	chr1	919386	919387	RP11-54O7.3	Hypomethylated	Hypomethylated	Concordant
cg05819296	chr1	936600	936601	SAMD11	Hypermethylated	Hypomethylated	Discordant
cg12663811	chr1	966305	966306	PLEKHN1	Hypomethylated	Hypomethylated	Concordant
cg23207077	chr1	970608	970609	PLEKHN1	Hypermethylated	Hypermethylated	Concordant
cg22381068	chr1	970983	970984	PLEKHN1	Hypermethylated	Hypermethylated	Concordant
cg10824915	chr1	981483	981484	PERM1	Hypomethylated	Hypomethylated	Concordant
cg11143486	chr1	983035	983036	PERM1	Hypomethylated	Hypomethylated	Concordant
cg13219080	chr1	1006781	1006782	ISG15	Hypomethylated	Hypomethylated	Concordant
cg18019572	chr1	1007109	1007110	ISG15	Hypermethylated	Hypomethylated	Discordant
cg12763038	chr1	1007637	1007638	ISG15	Hypomethylated	Hypomethylated	Concordant
cg26155170	chr1	1007684	1007685	ISG15	Hypomethylated	Hypomethylated	Concordant
cg17021880	chr1	1029126	1029127	AGRN	Hypermethylated	Hypermethylated	Concordant
cg02288964	chr1	1032181	1032182	AGRN	Hypermethylated	Hypermethylated	Concordant
cg02341264	chr1	1032587	1032588	AGRN	Hypermethylated	Hypermethylated	Concordant
cg16318112	chr1	1033874	1033875	AGRN	Hypermethylated	Hypermethylated	Concordant
cg09248054	chr1	1033877	1033878	AGRN	Hypermethylated	Hypermethylated	Concordant
cg10720997	chr1	1062478	1062479	RP11-465B22.3;RP11-54O7.18	Hypermethylated	Hypermethylated	Concordant
cg19856606	chr1	1087552	1087553	C1orf159	Hypermethylated	Hypomethylated	Discordant
cg12743165	chr1	1087615	1087616	C1orf159	Hypermethylated	Hypomethylated	Discordant
cg27302190	chr1	1114830	1114831	C1orf159	Hypomethylated	Hypomethylated	Concordant
cg08899471	chr1	1123059	1123060	NA	Hypomethylated	Hypomethylated	Concordant
cg15822328	chr1	1136817	1136818	LINC01342	Hypomethylated	Hypomethylated	Concordant
cg12097325	chr1	1141051	1141052	LINC01342	Hypermethylated	Hypomethylated	Discordant
cg22521151	chr1	1163520	1163521	NA	Hypomethylated	Hypomethylated	Concordant
cg00207921	chr1	1163612	1163613	NA	Hypomethylated	Hypomethylated	Concordant
cg20544808	chr1	1163671	1163672	NA	Hypomethylated	Hypomethylated	Concordant
cg18792131	chr1	1163786	1163787	NA	Hypomethylated	Hypomethylated	Concordant
cg14166948	chr1	1164183	1164184	NA	Hypomethylated	Hypomethylated	Concordant
cg08474826	chr1	1164250	1164251	NA	Hypomethylated	Hypomethylated	Concordant
cg20185617	chr1	1164271	1164272	NA	Hypomethylated	Hypomethylated	Concordant
cg15414773	chr1	1164980	1164981	NA	Hypomethylated	Hypomethylated	Concordant
cg21475076	chr1	1165113	1165114	NA	Hypomethylated	Hypomethylated	Concordant
cg14709479	chr1	1173544	1173545	TTLL10;TTLL10-AS1	Hypermethylated	Hypermethylated	Concordant
cg01961752	chr1	1173632	1173633	TTLL10;TTLL10-AS1	Hypermethylated	Hypermethylated	Concordant
cg21288685	chr1	1173864	1173865	TTLL10;TTLL10-AS1	Hypermethylated	Hypermethylated	Concordant
cg10143960	chr1	1174106	1174107	TTLL10;TTLL10-AS1	Hypermethylated	Hypermethylated	Concordant
cg01511231	chr1	1174296	1174297	TTLL10;TTLL10-AS1	Hypermethylated	Hypermethylated	Concordant
cg00657094	chr1	1238810	1238811	NA	Hypermethylated	Hypomethylated	Discordant
cg04719903	chr1	1246576	1246577	C1QTNF12	Hypermethylated	Hypermethylated	Concordant
cg27185793	chr1	1303417	1303418	ACAP3	Hypermethylated	Hypomethylated	Discordant
cg23931819	chr1	1309696	1309697	ACAP3;PUSL1	Hypomethylated	Hypomethylated	Concordant
cg11808871	chr1	1333562	1333563	TAS1R3	Hypermethylated	Hypomethylated	Discordant
cg14911892	chr1	1333839	1333840	TAS1R3	Hypermethylated	Hypomethylated	Discordant
cg23643813	chr1	1335615	1335616	DVL1	Hypermethylated	Hypermethylated	Concordant
cg24153574	chr1	1361576	1361577	MXRA8	Hypermethylated	Hypomethylated	Discordant
cg14992101	chr1	1372287	1372288	NA	Hypermethylated	Hypermethylated	Concordant
cg23894219	chr1	1421185	1421186	ANKRD65;RP4-758J18.7	Hypermethylated	Hypomethylated	Discordant
cg06786804	chr1	1442558	1442559	VWA1	Hypermethylated	Hypermethylated	Concordant
cg13850380	chr1	1539763	1539764	TMEM240	Hypermethylated	Hypermethylated	Concordant
cg00813378	chr1	1539829	1539830	TMEM240	Hypermethylated	Hypermethylated	Concordant
cg08738570	chr1	1539885	1539886	TMEM240	Hypermethylated	Hypermethylated	Concordant
cg22497741	chr1	1540264	1540265	TMEM240	Hypermethylated	Hypermethylated	Concordant
cg16306898	chr1	1540295	1540296	TMEM240	Hypermethylated	Hypermethylated	Concordant
cg16601494	chr1	1540357	1540358	TMEM240	Hypermethylated	Hypermethylated	Concordant
cg15487867	chr1	1540362	1540363	TMEM240	Hypermethylated	Hypermethylated	Concordant
cg23244095	chr1	1540889	1540890	TMEM240	Hypermethylated	Hypermethylated	Concordant
cg09126090	chr1	1599134	1599135	FNDC10	Hypermethylated	Hypermethylated	Concordant
cg06943420	chr1	1631320	1631321	MMP23B	Hypermethylated	Hypermethylated	Concordant
cg02297801	chr1	1779224	1779225	NADK	Hypomethylated	Hypomethylated	Concordant
cg15102821	chr1	1913362	1913363	CALML6	Hypomethylated	Hypomethylated	Concordant
cg18231054	chr1	1926598	1926599	CFAP74	Hypomethylated	Hypomethylated	Concordant
cg09315172	chr1	1928694	1928695	CFAP74	Hypermethylated	Hypermethylated	Concordant
cg02367828	chr1	1940594	1940595	CFAP74	Hypomethylated	Hypomethylated	Concordant
cg12701697	chr1	1983268	1983269	CFAP74	Hypermethylated	Hypomethylated	Discordant
cg05700129	chr1	2003686	2003687	CFAP74	Hypermethylated	Hypermethylated	Concordant
cg26067203	chr1	2003850	2003851	CFAP74	Hypermethylated	Hypermethylated	Concordant
cg23621729	chr1	2004006	2004007	CFAP74	Hypermethylated	Hypermethylated	Concordant
cg22817993	chr1	2018976	2018977	GABRD	Hypermethylated	Hypermethylated	Concordant
cg19868751	chr1	2023685	2023686	GABRD	Hypomethylated	Hypomethylated	Concordant
cg04781796	chr1	2028308	2028309	GABRD	Hypomethylated	Hypomethylated	Concordant
cg20285026	chr1	2052335	2052336	PRKCZ	Hypermethylated	Hypermethylated	Concordant
cg08484080	chr1	2054700	2054701	PRKCZ	Hypomethylated	Hypermethylated	Discordant
cg17740743	chr1	2054781	2054782	PRKCZ	Hypomethylated	Hypermethylated	Discordant
cg16653138	chr1	2073741	2073742	PRKCZ	Hypermethylated	Hypermethylated	Concordant
cg13387826	chr1	2073821	2073822	PRKCZ	Hypermethylated	Hypermethylated	Concordant
cg16735509	chr1	2091718	2091719	PRKCZ	Hypermethylated	Hypermethylated	Concordant
cg17023856	chr1	2105069	2105070	PRKCZ	Hypomethylated	Hypermethylated	Discordant
cg08109625	chr1	2105204	2105205	PRKCZ	Hypomethylated	Hypermethylated	Discordant
cg13480549	chr1	2127351	2127352	PRKCZ	Hypermethylated	Hypermethylated	Concordant
cg18188739	chr1	2127502	2127503	PRKCZ	Hypermethylated	Hypermethylated	Concordant
cg15481172	chr1	2127647	2127648	PRKCZ	Hypermethylated	Hypermethylated	Concordant
cg08106279	chr1	2128575	2128576	PRKCZ	Hypermethylated	Hypermethylated	Concordant
cg05340048	chr1	2152880	2152881	PRKCZ	Hypermethylated	Hypomethylated	Discordant
cg04347414	chr1	2153080	2153081	PRKCZ	Hypermethylated	Hypomethylated	Discordant
cg15468976	chr1	2174783	2174784	PRKCZ	Hypermethylated	Hypomethylated	Discordant
cg14856698	chr1	2204506	2204507	FAAP20	Hypermethylated	Hypermethylated	Concordant
cg26031954	chr1	2207888	2207889	FAAP20	Hypermethylated	Hypermethylated	Concordant
cg15451548	chr1	2213434	2213435	FAAP20;RP11-181G12.4	Hypermethylated	Hypermethylated	Concordant
cg23632393	chr1	2213677	2213678	FAAP20;RP11-181G12.4	Hypermethylated	Hypermethylated	Concordant
cg24518098	chr1	2214849	2214850	RP11-181G12.4	Hypermethylated	Hypermethylated	Concordant
cg12799824	chr1	2224289	2224290	NA	Hypermethylated	Hypomethylated	Discordant
cg15564619	chr1	2231998	2231999	SKI	Hypermethylated	Hypermethylated	Concordant
cg02058628	chr1	2233103	2233104	SKI	Hypermethylated	Hypermethylated	Concordant
cg19404444	chr1	2233163	2233164	SKI	Hypermethylated	Hypermethylated	Concordant
cg25139649	chr1	2234140	2234141	SKI	Hypermethylated	Hypermethylated	Concordant
cg16704920	chr1	2237968	2237969	SKI	Hypermethylated	Hypermethylated	Concordant
cg02050917	chr1	2242132	2242133	SKI	Hypermethylated	Hypermethylated	Concordant
cg24377150	chr1	2248494	2248495	SKI	Hypomethylated	Hypermethylated	Discordant
cg21414505	chr1	2249258	2249259	SKI	Hypermethylated	Hypermethylated	Concordant
cg23645210	chr1	2257328	2257329	SKI	Hypermethylated	Hypomethylated	Discordant
cg08730743	chr1	2257588	2257589	SKI	Hypermethylated	Hypomethylated	Discordant
