Coord	                 ProbeID	Chrom	Start       	End	       miRNA	  Num_Cancers	Cancers	                                                                            Concordance
chr1_179742956_179742957cg00008036	chr1	179742956	179742957	hsa-mir-12116	8	TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr7_44111573_44111574	cg00009293	chr7	44111573	44111574	hsa-mir-4649	6	TCGA-BLCA;TCGA-BRCA;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ	All_Hypomethylated
chr2_25302008_25302009	cg00050692	chr2	25302008	25302009	hsa-mir-1301	8	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC	All_Hypomethylated
chr1_98045475_98045476	cg00091285	chr1	98045475	98045476	hsa-mir-2682	10	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr7_157568929_157568930	cg00099393	chr7	157568929	157568930	hsa-mir-153-2	6	TCGA-BRCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr1_3267542_3267543	cg00103908	chr1	3267542	3267543	hsa-mir-4251	8	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr1_3256120_3256121	cg00106196	chr1	3256120	3256121	hsa-mir-4251	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr10_12606177_12606178	cg00115178	chr10	12606177	12606178	hsa-mir-4480;hsa-mir-4481;hsa-mir-548q	5	TCGA-BLCA;TCGA-BRCA;TCGA-KIRC;TCGA-KIRP;TCGA-UCEC	All_Hypomethylated
chr9_18474245_18474246	cg00116234	chr9	18474245	18474246	hsa-mir-3152	7	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-PRAD	All_Hypermethylated
chr2_218999424_218999425	cg00132972	chr2	218999424	218999425	hsa-mir-375	7	TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD	All_Hypomethylated
chr7_7071159_7071160	cg00133167	chr7	7071159	7071160	hsa-mir-3683	3	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC	All_Hypomethylated
chr1_44532479_44532480	cg00162064	chr1	44532479	44532480	hsa-mir-5584	7	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-UCEC	All_Hypomethylated
chr7_100093981_100093982	cg00170236	chr7	100093981	100093982	hsa-mir-106b;hsa-mir-25;hsa-mir-93	7	TCGA-BRCA;TCGA-CHOL;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr1_179743069_179743070	cg00181968	chr1	179743069	179743070	hsa-mir-12116	5	TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-LUAD;TCGA-READ	All_Hypermethylated
chr19_53760663_53760664	cg00182416	chr19	53760663	53760664	hsa-mir-1283-2;hsa-mir-516a-1;hsa-mir-516a-2;hsa-mir-519a-1;hsa-mir-519a-2;hsa-mir-521-1;hsa-mir-522;hsa-mir-527	8	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr8_24955606_24955607	cg00197313	chr8	24955606	24955607	hsa-mir-6841	4	TCGA-BRCA;TCGA-LUAD;TCGA-PAAD;TCGA-UCEC	All_Hypermethylated
chr15_89370815_89370816	cg00210562	chr15	89370815	89370816	hsa-mir-9-3	9	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr12_54034387_54034388	cg00218447	chr12	54034387	54034388	hsa-mir-615	7	TCGA-BRCA;TCGA-CHOL;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUSC;TCGA-PRAD	All_Hypermethylated
chr1_3389065_3389066	cg00251678	chr1	3389065	3389066	hsa-mir-4251	9	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_228423568_228423569	cg00252149	chr1	228423568	228423569	hsa-mir-4666a	9	TCGA-BLCA;TCGA-BRCA;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr2_237497465_237497466	cg00285317	chr2	237497465	237497466	hsa-mir-6811	6	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr13_52846290_52846291	cg00287312	chr13	52846290	52846291	hsa-mir-759	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr15_25863516_25863517	cg00288824	chr15	25863516	25863517	hsa-mir-4715	8	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr1_3274917_3274918	cg00329272	chr1	3274917	3274918	hsa-mir-4251	7	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_38085685_38085686	cg00338479	chr1	38085685	38085686	hsa-mir-3659	8	TCGA-BRCA;TCGA-COAD;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-UCEC	All_Hypomethylated
chr16_56194202_56194203	cg00348762	chr16	56194202	56194203	hsa-mir-3935	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr7_128030991_128030992	cg00353923	chr7	128030991	128030992	hsa-mir-593	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr7_157594022_157594023	cg00368924	chr7	157594022	157594023	hsa-mir-153-2	9	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
